sr no,city,zip code,No Bathroom,No bedroom,price  per squrefoot,area_name
78,Vadodara,390007,2.0,3,3143,Alkapuri
79,Vadodara,391410,2.0,3,2228,Bhayli
80,Vadodara,390019,2.0,4,2371,Waghodia Road
81,Vadodara,390008,2.0,4,2980,Sama
82,Vadodara,390009,2.0,3,2352,Tarsali
83,Vadodara,390021,2.0,3,3103,Gotri
84,Vadodara,390022,2.0,3,2523,Harni
85,Vadodara,390021,4.0,4,3207,Gotri
86,Vadodara,390022,3.0,4,2545,Amit Nagar
87,Vadodara,390022,4.0,3,2832,Harni
88,Vadodara,390002,3.0,4,2920,Nizampura
89,Vadodara,390008,1.0,4,2862,Sama
90,Vadodara,390018,1.0,2,2396,Karelibaug
91,Vadodara,390022,2.0,2,2249,Amit Nagar
92,Vadodara,390021,1.0,2,2837,Gotri
93,Vadodara,390022,1.0,3,2767,New VIP Road
94,Vadodara,390019,3.0,4,2611,Waghodia Road
95,Vadodara,390007,4.0,4,2945,Diwalipura
96,Vadodara,390010,2.0,4,2268,Makarpura
97,Vadodara,390002,3.0,4,2967,Fatehgunj
98,Vadodara,390021,1.0,4,3033,Gotri
99,Vadodara,390007,3.0,2,2480,Vasna
100,Vadodara,390002,1.0,4,2689,Nizampura
101,Vadodara,390007,1.0,4,2583,Diwalipura
102,Vadodara,390008,2.0,4,2962,Sama
103,Vadodara,390008,2.0,2,2709,Sama
104,Vadodara,390009,2.0,3,2248,Tarsali
105,Vadodara,390022,4.0,4,3215,New VIP Road
106,Vadodara,390022,1.0,4,2646,Harni
107,Vadodara,390011,2.0,1,2680,Manjalpur
108,Vadodara,390002,1.0,4,2776,Fatehgunj
109,Vadodara,390022,3.0,4,2813,Harni
110,Vadodara,390007,4.0,3,3343,Alkapuri
111,Vadodara,390002,2.0,4,2677,Fatehgunj
112,Vadodara,390020,4.0,3,2998,Akota
113,Vadodara,390002,2.0,4,2805,Nizampura
114,Vadodara,390007,1.0,3,2652,Vasna
115,Vadodara,390009,3.0,4,2523,Tarsali
116,Vadodara,390011,1.0,4,2837,Manjalpur
117,Vadodara,390022,2.0,4,2697,Harni
118,Vadodara,390022,4.0,3,2995,New VIP Road
119,Vadodara,390007,3.0,4,2843,Vasna
120,Vadodara,390022,1.0,3,2898,New VIP Road
121,Vadodara,390002,4.0,1,2711,Fatehgunj
122,Vadodara,390020,1.0,4,2778,Akota
123,Vadodara,390022,1.0,3,2956,New VIP Road
124,Vadodara,391410,1.0,4,2134,Bhayli
125,Vadodara,390021,4.0,3,3203,Gotri
126,Vadodara,390018,1.0,4,2807,Karelibaug
127,Vadodara,390007,3.0,3,2521,Vasna
128,Vadodara,390022,1.0,3,2779,New VIP Road
129,Vadodara,390011,2.0,3,2779,Manjalpur
130,Vadodara,390007,3.0,2,3085,Alkapuri
131,Vadodara,390019,4.0,4,2590,Waghodia Road
132,Vadodara,390011,3.0,4,2996,Manjalpur
133,Vadodara,390002,2.0,4,2754,Fatehgunj
134,Vadodara,390018,3.0,3,2703,Karelibaug
135,Vadodara,390020,1.0,3,2647,Akota
136,Vadodara,390022,1.0,3,2419,Amit Nagar
137,Vadodara,390010,4.0,3,2380,Makarpura
138,Vadodara,390022,3.0,4,2561,Amit Nagar
139,Vadodara,390007,3.0,3,2833,Diwalipura
140,Vadodara,390007,4.0,4,2869,Diwalipura
141,Vadodara,390019,2.0,4,2570,Waghodia Road
142,Vadodara,390007,4.0,2,2838,Diwalipura
143,Vadodara,390021,1.0,4,2865,Gotri
144,Vadodara,390021,2.0,2,2857,Gotri
145,Vadodara,390019,4.0,3,2623,Waghodia Road
146,Vadodara,390007,4.0,4,2900,Vasna
147,Vadodara,390022,3.0,4,2679,Harni
148,Vadodara,390022,1.0,3,2711,New VIP Road
149,Vadodara,390002,3.0,4,2937,Nizampura
150,Vadodara,391410,2.0,4,2377,Bhayli
151,Vadodara,391410,4.0,4,2553,Bhayli
152,Vadodara,390020,2.0,4,2981,Akota
153,Vadodara,390008,3.0,3,2899,Sama
154,Vadodara,390018,2.0,3,2591,Karelibaug
155,Vadodara,390009,4.0,4,2656,Tarsali
156,Vadodara,390022,2.0,4,2986,New VIP Road
157,Vadodara,390009,2.0,2,2358,Tarsali
158,Vadodara,390002,3.0,2,2723,Fatehgunj
159,Vadodara,390022,2.0,4,2393,Amit Nagar
160,Vadodara,390022,4.0,3,2609,Amit Nagar
161,Vadodara,390007,1.0,4,2622,Diwalipura
162,Vadodara,390007,3.0,1,3071,Alkapuri
163,Vadodara,390011,4.0,4,3184,Manjalpur
164,Vadodara,390022,4.0,4,2606,Amit Nagar
165,Vadodara,390022,4.0,4,2767,Amit Nagar
166,Vadodara,390011,2.0,4,2937,Manjalpur
167,Vadodara,390007,2.0,4,2874,Diwalipura
168,Vadodara,390010,4.0,4,2751,Makarpura
169,Vadodara,390022,3.0,4,2568,Amit Nagar
170,Vadodara,390007,3.0,3,2692,Diwalipura
171,Vadodara,390010,1.0,3,2100,Makarpura
172,Vadodara,390007,4.0,2,3147,Alkapuri
173,Vadodara,390007,3.0,4,2883,Diwalipura
174,Vadodara,390022,4.0,3,3131,New VIP Road
175,Vadodara,390022,4.0,4,2705,Amit Nagar
176,Vadodara,390022,2.0,4,2774,Harni
177,Vadodara,390019,3.0,3,2511,Waghodia Road
178,Vadodara,391410,1.0,3,2261,Bhayli
179,Vadodara,390021,1.0,1,2596,Gotri
180,Vadodara,390019,2.0,2,2535,Waghodia Road
181,Vadodara,390022,2.0,4,2556,Amit Nagar
182,Vadodara,390019,3.0,4,2563,Waghodia Road
183,Vadodara,390002,4.0,3,2754,Nizampura
184,Vadodara,391410,3.0,4,2483,Bhayli
185,Vadodara,390002,4.0,4,3010,Fatehgunj
186,Vadodara,390002,2.0,4,2914,Fatehgunj
187,Vadodara,390002,3.0,2,2673,Nizampura
188,Vadodara,390018,1.0,3,2473,Karelibaug
189,Vadodara,390002,3.0,2,2554,Nizampura
190,Vadodara,390002,3.0,3,2624,Nizampura
191,Vadodara,390009,4.0,3,2460,Tarsali
192,Vadodara,390010,3.0,4,2567,Makarpura
193,Vadodara,390002,2.0,3,2739,Fatehgunj
194,Vadodara,390010,4.0,2,2208,Makarpura
195,Vadodara,390008,1.0,4,2926,Sama
196,Vadodara,390007,4.0,1,3125,Alkapuri
197,Vadodara,390002,2.0,4,2770,Fatehgunj
198,Vadodara,390022,3.0,2,2344,Amit Nagar
199,Vadodara,391410,3.0,4,2445,Bhayli
200,Vadodara,391410,4.0,3,2297,Bhayli
201,Vadodara,390009,2.0,4,2482,Tarsali
202,Vadodara,390021,4.0,2,3070,Gotri
203,Vadodara,390002,1.0,4,2807,Nizampura
204,Vadodara,390007,1.0,4,2655,Vasna
205,Vadodara,390022,1.0,4,2486,Harni
206,Vadodara,390009,2.0,2,2106,Tarsali
207,Vadodara,390022,1.0,2,2196,Amit Nagar
208,Vadodara,390007,4.0,1,2636,Diwalipura
209,Vadodara,390009,1.0,4,2406,Tarsali
210,Vadodara,390002,2.0,4,3197,Fatehgunj
211,Vadodara,390010,2.0,4,2451,Makarpura
212,Vadodara,390011,1.0,2,2652,Manjalpur
213,Vadodara,390007,1.0,2,2536,Diwalipura
214,Vadodara,390022,2.0,1,2169,Amit Nagar
215,Vadodara,390007,2.0,3,2492,Vasna
216,Vadodara,390002,3.0,4,2958,Nizampura
217,Vadodara,390019,2.0,3,2350,Waghodia Road
218,Vadodara,390019,1.0,3,2309,Waghodia Road
219,Vadodara,391410,4.0,2,2226,Bhayli
220,Vadodara,390008,1.0,4,2917,Sama
221,Vadodara,390010,4.0,2,2528,Makarpura
222,Vadodara,390007,2.0,4,2482,Vasna
223,Vadodara,390008,2.0,2,2802,Sama
224,Vadodara,390011,3.0,4,2845,Manjalpur
225,Vadodara,390008,4.0,3,3008,Sama
226,Vadodara,390022,2.0,4,2798,Harni
227,Vadodara,390009,1.0,3,2236,Tarsali
228,Vadodara,390020,3.0,2,2683,Akota
229,Vadodara,390002,3.0,4,2826,Nizampura
230,Vadodara,390019,1.0,4,2521,Waghodia Road
231,Vadodara,390021,1.0,3,2814,Gotri
232,Vadodara,391410,1.0,4,2279,Bhayli
233,Vadodara,390020,4.0,4,3134,Akota
234,Vadodara,391410,4.0,4,2471,Bhayli
235,Vadodara,390010,1.0,4,2503,Makarpura
236,Vadodara,390010,2.0,2,2197,Makarpura
237,Vadodara,390007,3.0,2,2948,Alkapuri
238,Vadodara,390010,3.0,3,2377,Makarpura
239,Vadodara,390010,4.0,4,2520,Makarpura
240,Vadodara,390019,3.0,4,2717,Waghodia Road
241,Vadodara,390022,4.0,3,3029,New VIP Road
242,Vadodara,390022,4.0,4,3220,New VIP Road
243,Vadodara,390007,3.0,4,2785,Vasna
244,Vadodara,390010,4.0,3,2528,Makarpura
245,Vadodara,390022,4.0,4,3122,New VIP Road
246,Vadodara,390007,4.0,4,2950,Diwalipura
247,Vadodara,390007,3.0,4,2697,Vasna
248,Vadodara,390007,1.0,4,2651,Diwalipura
249,Vadodara,390007,2.0,3,2829,Diwalipura
250,Vadodara,390022,4.0,4,2716,Amit Nagar
251,Vadodara,390008,1.0,4,2797,Sama
252,Vadodara,390002,1.0,3,2713,Fatehgunj
253,Vadodara,390022,2.0,2,2431,Amit Nagar
254,Vadodara,390010,2.0,3,2363,Makarpura
255,Vadodara,390007,4.0,4,2843,Diwalipura
256,Vadodara,390002,2.0,4,2756,Nizampura
257,Vadodara,390022,2.0,2,2904,New VIP Road
258,Vadodara,390007,1.0,4,3146,Alkapuri
259,Vadodara,390022,2.0,4,2740,Harni
260,Vadodara,391410,2.0,3,2290,Bhayli
261,Vadodara,390007,3.0,4,3307,Alkapuri
262,Vadodara,390022,2.0,4,2495,Amit Nagar
263,Vadodara,390022,1.0,4,2318,Harni
264,Vadodara,390008,3.0,2,2738,Sama
265,Vadodara,390021,2.0,4,3077,Gotri
266,Vadodara,390020,1.0,3,2618,Akota
267,Vadodara,390009,4.0,1,2387,Tarsali
268,Vadodara,390007,3.0,4,3261,Alkapuri
269,Vadodara,390007,4.0,3,2810,Diwalipura
270,Vadodara,390011,4.0,4,3092,Manjalpur
271,Vadodara,390009,3.0,4,2670,Tarsali
272,Vadodara,390002,2.0,4,2721,Fatehgunj
273,Vadodara,390007,1.0,3,2685,Diwalipura
274,Vadodara,391410,3.0,4,2441,Bhayli
275,Vadodara,390022,1.0,3,2742,New VIP Road
276,Vadodara,390022,2.0,2,2482,Harni
277,Vadodara,390021,4.0,2,3038,Gotri
278,Vadodara,390018,1.0,4,2556,Karelibaug
279,Vadodara,390007,2.0,4,2806,Diwalipura
280,Vadodara,390022,2.0,4,2465,Amit Nagar
281,Vadodara,390018,2.0,3,2580,Karelibaug
282,Vadodara,390020,4.0,4,3190,Akota
283,Vadodara,390007,2.0,4,2793,Vasna
284,Vadodara,390009,3.0,2,2169,Tarsali
285,Vadodara,390020,2.0,4,3142,Akota
286,Vadodara,390022,4.0,3,2924,New VIP Road
287,Vadodara,390011,1.0,4,2796,Manjalpur
288,Vadodara,390020,4.0,4,3183,Akota
289,Vadodara,390002,3.0,4,2965,Fatehgunj
290,Vadodara,390021,2.0,3,2914,Gotri
291,Vadodara,390022,4.0,2,2601,Harni
292,Vadodara,390002,1.0,4,2716,Fatehgunj
293,Vadodara,390002,1.0,1,2317,Fatehgunj
294,Vadodara,390021,1.0,2,2826,Gotri
295,Vadodara,390022,2.0,4,2732,Harni
296,Vadodara,390020,2.0,3,2758,Akota
297,Vadodara,391410,3.0,4,2521,Bhayli
298,Vadodara,390007,4.0,4,3508,Alkapuri
299,Vadodara,391410,3.0,4,2513,Bhayli
300,Vadodara,390022,4.0,4,2937,Harni
301,Vadodara,390022,4.0,4,3155,New VIP Road
302,Vadodara,390019,1.0,4,2410,Waghodia Road
303,Vadodara,390022,1.0,2,2417,Harni
304,Vadodara,390010,2.0,2,2195,Makarpura
305,Vadodara,390007,4.0,4,2978,Diwalipura
306,Vadodara,390002,1.0,4,2721,Nizampura
307,Vadodara,390022,1.0,1,2335,Harni
308,Vadodara,390010,2.0,3,2217,Makarpura
309,Vadodara,390011,3.0,2,2779,Manjalpur
310,Vadodara,390007,2.0,3,3152,Alkapuri
311,Vadodara,390021,1.0,3,2860,Gotri
312,Vadodara,390022,1.0,3,2579,Harni
313,Vadodara,390007,3.0,2,2554,Vasna
314,Vadodara,390009,2.0,3,2393,Tarsali
315,Vadodara,390002,3.0,4,3007,Nizampura
316,Vadodara,390011,3.0,4,2992,Manjalpur
317,Vadodara,390002,1.0,3,2691,Fatehgunj
318,Vadodara,390007,4.0,4,2952,Diwalipura
319,Vadodara,390021,2.0,4,3129,Gotri
320,Vadodara,390010,3.0,2,2218,Makarpura
321,Vadodara,390018,4.0,3,2759,Karelibaug
322,Vadodara,390021,3.0,4,3244,Gotri
323,Vadodara,390002,2.0,3,2596,Nizampura
324,Vadodara,390021,3.0,3,3248,Gotri
325,Vadodara,390010,4.0,3,2359,Makarpura
326,Vadodara,390020,1.0,4,2751,Akota
327,Vadodara,390018,1.0,4,2714,Karelibaug
328,Vadodara,390010,4.0,1,2261,Makarpura
329,Vadodara,390018,2.0,4,2756,Karelibaug
330,Vadodara,391410,4.0,4,2587,Bhayli
331,Vadodara,390022,2.0,4,2499,Amit Nagar
332,Vadodara,390002,1.0,3,2549,Fatehgunj
333,Vadodara,390018,1.0,4,2617,Karelibaug
334,Vadodara,390002,4.0,1,2529,Nizampura
335,Vadodara,390021,1.0,4,3098,Gotri
336,Vadodara,390022,1.0,3,2267,Amit Nagar
337,Vadodara,390007,4.0,1,2366,Vasna
338,Vadodara,390007,2.0,4,2621,Vasna
339,Vadodara,390002,1.0,2,2487,Nizampura
340,Vadodara,390011,1.0,2,2499,Manjalpur
341,Vadodara,390007,2.0,1,2186,Vasna
342,Vadodara,390007,1.0,2,2972,Alkapuri
343,Vadodara,390002,3.0,2,2652,Nizampura
344,Vadodara,390022,1.0,3,2234,Amit Nagar
345,Vadodara,390022,2.0,4,2658,Harni
346,Vadodara,390007,4.0,4,2851,Vasna
347,Vadodara,390002,1.0,4,2630,Fatehgunj
348,Vadodara,390008,2.0,2,2613,Sama
349,Vadodara,390010,4.0,3,2385,Makarpura
350,Vadodara,390019,2.0,4,2531,Waghodia Road
351,Vadodara,390022,4.0,2,2448,Amit Nagar
352,Vadodara,391410,4.0,4,2663,Bhayli
353,Vadodara,390009,4.0,4,2707,Tarsali
354,Vadodara,390018,2.0,4,2686,Karelibaug
355,Vadodara,390020,1.0,2,2598,Akota
356,Vadodara,390022,3.0,1,2110,Amit Nagar
357,Vadodara,390022,1.0,4,2408,Amit Nagar
358,Vadodara,390011,2.0,3,2744,Manjalpur
359,Vadodara,391410,4.0,3,2429,Bhayli
360,Vadodara,390008,2.0,4,2926,Sama
361,Vadodara,390007,3.0,3,3307,Alkapuri
362,Vadodara,390022,3.0,3,2798,Harni
363,Vadodara,390007,3.0,4,2880,Diwalipura
364,Vadodara,390022,3.0,3,2696,Harni
365,Vadodara,390018,3.0,4,2852,Karelibaug
366,Vadodara,390022,3.0,4,3104,New VIP Road
367,Vadodara,390008,3.0,3,2980,Sama
368,Vadodara,390007,2.0,3,3171,Alkapuri
369,Vadodara,390011,2.0,4,2909,Manjalpur
370,Vadodara,390002,3.0,4,2870,Fatehgunj
371,Vadodara,390022,2.0,4,2702,Harni
372,Vadodara,390007,1.0,3,2475,Vasna
373,Vadodara,390022,4.0,1,2621,Harni
374,Vadodara,390010,2.0,4,2486,Makarpura
375,Vadodara,390002,3.0,2,2874,Fatehgunj
376,Vadodara,390002,1.0,4,2641,Nizampura
377,Vadodara,390018,1.0,1,2299,Karelibaug
378,Vadodara,390007,1.0,4,3227,Alkapuri
379,Vadodara,390002,4.0,4,3177,Nizampura
380,Vadodara,390022,3.0,4,3067,New VIP Road
381,Vadodara,390002,3.0,3,2734,Fatehgunj
382,Vadodara,390008,3.0,3,2906,Sama
383,Vadodara,391410,3.0,4,2249,Bhayli
384,Vadodara,390022,2.0,4,2653,Harni
385,Vadodara,390010,3.0,3,2292,Makarpura
386,Vadodara,390002,3.0,3,2774,Nizampura
387,Vadodara,390011,2.0,3,2801,Manjalpur
388,Vadodara,390022,4.0,2,3139,New VIP Road
389,Vadodara,391410,1.0,4,2346,Bhayli
390,Vadodara,390018,3.0,2,2478,Karelibaug
391,Vadodara,390002,2.0,4,2719,Nizampura
392,Vadodara,390007,2.0,2,2584,Diwalipura
393,Vadodara,390007,4.0,3,3231,Alkapuri
394,Vadodara,390007,4.0,4,3645,Alkapuri
395,Vadodara,390002,3.0,4,3046,Fatehgunj
396,Vadodara,390020,2.0,3,2778,Akota
397,Vadodara,390022,2.0,3,2766,New VIP Road
398,Vadodara,390020,1.0,4,2982,Akota
399,Vadodara,390002,4.0,2,2710,Nizampura
400,Vadodara,390007,3.0,4,3501,Alkapuri
401,Vadodara,390008,4.0,4,3037,Sama
402,Vadodara,390020,2.0,4,2896,Akota
403,Vadodara,390021,1.0,4,3010,Gotri
404,Vadodara,391410,1.0,3,2134,Bhayli
405,Vadodara,390002,4.0,4,2939,Nizampura
406,Vadodara,390008,2.0,4,3056,Sama
407,Vadodara,390007,1.0,3,2334,Vasna
408,Vadodara,390020,2.0,1,2547,Akota
409,Vadodara,390008,3.0,3,2971,Sama
410,Vadodara,390011,3.0,4,3036,Manjalpur
411,Vadodara,390020,1.0,3,2794,Akota
412,Vadodara,390020,1.0,2,2499,Akota
413,Vadodara,391410,2.0,2,1952,Bhayli
414,Vadodara,390002,1.0,4,2825,Nizampura
415,Vadodara,390007,3.0,1,3030,Alkapuri
416,Vadodara,390009,4.0,4,2563,Tarsali
417,Vadodara,390009,3.0,4,2680,Tarsali
418,Vadodara,390009,2.0,4,2460,Tarsali
419,Vadodara,391410,4.0,2,2376,Bhayli
420,Vadodara,390022,2.0,4,3056,New VIP Road
421,Vadodara,390019,1.0,2,2385,Waghodia Road
422,Vadodara,390007,4.0,4,2988,Vasna
423,Vadodara,390007,4.0,4,2958,Diwalipura
424,Vadodara,390020,1.0,4,2947,Akota
425,Vadodara,390022,2.0,3,2978,New VIP Road
426,Vadodara,390007,3.0,3,3383,Alkapuri
427,Vadodara,390007,4.0,4,2893,Diwalipura
428,Vadodara,390022,2.0,4,2562,Amit Nagar
429,Vadodara,390020,2.0,4,3045,Akota
430,Vadodara,390022,1.0,3,2122,Amit Nagar
431,Vadodara,391410,3.0,1,1944,Bhayli
432,Vadodara,390021,2.0,4,2916,Gotri
433,Vadodara,390011,1.0,2,2526,Manjalpur
434,Vadodara,390010,2.0,3,2335,Makarpura
435,Vadodara,390022,4.0,3,2685,Amit Nagar
436,Vadodara,390019,4.0,4,2737,Waghodia Road
437,Vadodara,390007,2.0,4,2947,Diwalipura
438,Vadodara,390009,1.0,2,1976,Tarsali
439,Vadodara,390002,3.0,2,2477,Nizampura
440,Vadodara,391410,1.0,4,2255,Bhayli
441,Vadodara,390008,1.0,1,2555,Sama
442,Vadodara,390019,3.0,4,2637,Waghodia Road
443,Vadodara,390008,4.0,4,2994,Sama
444,Vadodara,390022,3.0,4,2582,Amit Nagar
445,Vadodara,390021,4.0,4,3163,Gotri
446,Vadodara,390011,2.0,4,2960,Manjalpur
447,Vadodara,390002,4.0,4,3063,Fatehgunj
448,Vadodara,390002,3.0,4,2805,Nizampura
449,Vadodara,390022,4.0,3,2504,Amit Nagar
450,Vadodara,390007,3.0,4,2645,Vasna
451,Vadodara,390022,1.0,4,2954,New VIP Road
452,Vadodara,390009,2.0,2,2276,Tarsali
453,Vadodara,390010,4.0,3,2361,Makarpura
454,Vadodara,390022,2.0,4,2545,Amit Nagar
455,Vadodara,390002,2.0,4,2802,Fatehgunj
456,Vadodara,390009,4.0,3,2429,Tarsali
457,Vadodara,390021,1.0,4,3000,Gotri
458,Vadodara,390009,2.0,4,2357,Tarsali
459,Vadodara,390022,4.0,2,2920,New VIP Road
460,Vadodara,390007,4.0,4,3372,Alkapuri
461,Vadodara,390009,3.0,4,2717,Tarsali
462,Vadodara,390022,4.0,4,3233,New VIP Road
463,Vadodara,390002,1.0,4,2647,Nizampura
464,Vadodara,390009,3.0,3,2429,Tarsali
465,Vadodara,390007,1.0,3,2420,Vasna
466,Vadodara,390019,2.0,4,2530,Waghodia Road
467,Vadodara,390009,2.0,4,2505,Tarsali
468,Vadodara,390022,2.0,3,2638,Harni
469,Vadodara,390022,4.0,4,2632,Amit Nagar
470,Vadodara,390022,4.0,4,2828,Harni
471,Vadodara,390022,4.0,4,3205,New VIP Road
472,Vadodara,390019,1.0,4,2253,Waghodia Road
473,Vadodara,390022,1.0,1,1884,Amit Nagar
474,Vadodara,390022,2.0,1,2433,Harni
475,Vadodara,390009,3.0,2,2428,Tarsali
476,Vadodara,390007,3.0,4,2868,Diwalipura
477,Vadodara,390020,4.0,3,3052,Akota
478,Vadodara,390022,4.0,4,2708,Amit Nagar
479,Vadodara,390022,2.0,4,2977,Harni
480,Vadodara,390007,1.0,2,3051,Alkapuri
481,Vadodara,390007,1.0,2,2938,Alkapuri
482,Vadodara,390007,4.0,2,2634,Diwalipura
483,Vadodara,390021,3.0,4,3045,Gotri
484,Vadodara,390021,3.0,4,3208,Gotri
485,Vadodara,390022,2.0,3,2302,Amit Nagar
486,Vadodara,390008,2.0,3,2742,Sama
487,Vadodara,390021,1.0,4,2952,Gotri
488,Vadodara,391410,3.0,3,2213,Bhayli
489,Vadodara,390007,2.0,4,2952,Diwalipura
490,Vadodara,390002,3.0,3,2839,Nizampura
491,Vadodara,390002,2.0,3,2669,Nizampura
492,Vadodara,390007,2.0,3,3303,Alkapuri
493,Vadodara,390009,1.0,3,2237,Tarsali
494,Vadodara,390002,1.0,2,2372,Nizampura
495,Vadodara,390010,4.0,2,2457,Makarpura
496,Vadodara,391410,3.0,4,2489,Bhayli
497,Vadodara,390002,1.0,3,2487,Nizampura
498,Vadodara,390008,1.0,4,2893,Sama
499,Vadodara,390011,3.0,2,2651,Manjalpur
500,Vadodara,390008,2.0,4,2876,Sama
501,Vadodara,390019,3.0,4,2723,Waghodia Road
502,Vadodara,390011,4.0,3,3122,Manjalpur
503,Vadodara,390018,4.0,4,2754,Karelibaug
504,Vadodara,390020,1.0,4,2911,Akota
505,Vadodara,390008,4.0,1,2731,Sama
506,Vadodara,390002,2.0,4,2756,Nizampura
507,Vadodara,390022,3.0,2,2277,Amit Nagar
508,Vadodara,390019,1.0,4,2382,Waghodia Road
509,Vadodara,390022,1.0,1,2024,Amit Nagar
510,Vadodara,390022,3.0,2,2455,Harni
511,Vadodara,390002,2.0,4,2824,Nizampura
512,Vadodara,390019,1.0,4,2455,Waghodia Road
513,Vadodara,390011,4.0,2,2798,Manjalpur
514,Vadodara,390008,3.0,4,3008,Sama
515,Vadodara,390007,3.0,3,3208,Alkapuri
516,Vadodara,390008,2.0,3,2938,Sama
517,Vadodara,390007,3.0,3,2655,Vasna
518,Vadodara,390009,1.0,3,2142,Tarsali
519,Vadodara,390021,1.0,1,2629,Gotri
520,Vadodara,390011,4.0,2,2888,Manjalpur
521,Vadodara,390008,2.0,4,2850,Sama
522,Vadodara,390011,2.0,4,2949,Manjalpur
523,Vadodara,390007,1.0,2,2390,Diwalipura
524,Vadodara,390002,1.0,3,2631,Nizampura
525,Vadodara,390021,1.0,3,2811,Gotri
526,Vadodara,390009,2.0,3,2158,Tarsali
527,Vadodara,390007,1.0,3,2284,Vasna
528,Vadodara,390010,4.0,2,2324,Makarpura
529,Vadodara,390022,3.0,4,2813,Harni
530,Vadodara,390008,1.0,3,2699,Sama
531,Vadodara,390007,4.0,3,3407,Alkapuri
532,Vadodara,391410,1.0,4,2110,Bhayli
